"","year","quarter","GEOID","N_housing"
"761",2015,4,"06075020402",1
"762",2015,4,"06075022801",1
"763",2015,4,"06075030302",1
"764",2015,4,"06075012602",1
"765",2015,4,"06075025402",1
"766",2015,4,"06075015300",1
"767",2015,4,"06075031301",1
"768",2015,4,"06075026001",1
"769",2015,4,"06075025401",1
"770",2015,4,"06075017802",1
"771",2015,4,"06075047801",1
"772",2015,4,"06075011100",1
"773",2015,4,"06075031302",1
"774",2015,4,"06075016500",1
"775",2015,4,"06075015801",1
"776",2015,4,"06075010500",1
"777",2015,4,"06075032902",1
"778",2015,4,"06075021500",1
"779",2015,4,"06075012000",1
"780",2015,3,"06075021500",4
"781",2015,3,"06075030900",1
"782",2015,3,"06075016200",1
"783",2015,3,"06075035400",2
"784",2015,3,"06075033203",8
"785",2015,3,"06075026002",2
"786",2015,3,"06075022803",2
"787",2015,3,"06075026003",1
"788",2015,3,"06075032601",2
"789",2015,3,"06075025701",1
"790",2015,3,"06075031302",2
"791",2015,3,"06075031201",2
"792",2015,3,"06075010800",1
"793",2015,3,"06075020900",1
"794",2015,3,"06075031100",3
"795",2015,3,"06075021600",1
"796",2015,3,"06075020401",1
"797",2015,3,"06075032901",1
"798",2015,3,"06075016600",2
"799",2015,3,"06075026402",1
"800",2015,3,"06075047701",1
"801",2015,3,"06075061200",1
"802",2015,3,"06075025900",2
"803",2015,3,"06075017000",1
"804",2015,3,"06075031400",3
"805",2015,3,"06075026303",1
"806",2015,3,"06075032801",1
"807",2015,3,"06075023400",1
"808",2015,3,"06075021100",3
"809",2015,3,"06075011100",1
"810",2015,3,"06075017802",2
"811",2015,3,"06075021800",2
"812",2015,3,"06075012000",1
"813",2015,3,"06075012501",1
"814",2015,3,"06075016400",1
"815",2015,3,"06075017601",2
"816",2015,3,"06075030800",1
"817",2015,3,"06075015802",1
"818",2015,3,"06075020600",1
"819",2015,3,"06075030301",1
"820",2015,3,"06075021400",1
"821",2015,3,"06075025200",1
"822",2015,3,"06075031301",2
"823",2015,3,"06075025500",1
"824",2015,3,"06075026100",1
"825",2015,3,"06075023001",1
"826",2015,3,"06075035100",1
"827",2015,3,"06075042602",2
"828",2015,3,"06075015500",1
"829",2015,3,"06075023102",2
"830",2015,3,"06075016801",1
"831",2015,3,"06075035300",1
"832",2015,3,"06075025300",1
"833",2015,3,"06075032602",1
"834",2015,2,"06075047701",2
"835",2015,2,"06075031100",2
"836",2015,2,"06075980501",1
"837",2015,2,"06075021400",2
"838",2015,2,"06075032802",1
"839",2015,2,"06075042601",1
"840",2015,2,"06075012302",1
"841",2015,2,"06075061500",2
"842",2015,2,"06075012301",1
"843",2015,2,"06075026302",2
"844",2015,2,"06075012201",1
"845",2015,2,"06075012601",1
"846",2015,2,"06075016000",1
"847",2015,2,"06075020800",2
"848",2015,2,"06075030101",2
"849",2015,2,"06075022802",2
"850",2015,2,"06075026003",3
"851",2015,2,"06075033203",7
"852",2015,2,"06075021000",1
"853",2015,2,"06075022702",1
"854",2015,2,"06075017101",1
"855",2015,2,"06075021200",1
"856",2015,2,"06075022901",1
"857",2015,2,"06075045200",1
"858",2015,2,"06075040100",1
"859",2015,2,"06075031400",5
"860",2015,2,"06075021100",2
"861",2015,2,"06075022600",1
"862",2015,2,"06075045100",1
"863",2015,2,"06075021600",1
"864",2015,2,"06075017802",1
"865",2015,2,"06075020900",1
"866",2015,2,"06075021700",1
"867",2015,2,"06075026402",1
"868",2015,2,"06075015400",2
"869",2015,2,"06075015802",1
